instrument,collection,technique,dynamic,midi,note,register,metric,value,ci_low,ci_high,rel_uncertainty,source_file
Violin,_15_,ordinario,fortissimo,85,C#6,Very high,EWSD_score_acoustic_balanced,8.056528700141241,4.1480428458737,14.81333045081998,0.3478048676167496,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,86,D6,Very high,EWSD_score_acoustic_balanced,12.95841055642099,4.896402048151711,19.6411147569309,0.2912253081867368,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,87,D#6,Very high,EWSD_score_acoustic_balanced,9.011995766016794,4.709384582491487,16.73152107851969,0.3511841556020128,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,88,E6,Very high,EWSD_score_acoustic_balanced,11.35583786121305,4.250787225117502,16.65411993356098,0.2769635893136222,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,89,F6,Very high,EWSD_score_acoustic_balanced,8.097072124389893,4.499308162037032,12.55925540976926,0.2755744157262711,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,90,F#6,Very high,EWSD_score_acoustic_balanced,7.465416988597755,4.498342964439636,13.27454968335546,0.3189368428093916,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,91,G6,Very high,EWSD_score_acoustic_balanced,9.727488640145015,4.248556353925092,12.97736771937332,0.2376248555643302,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,92,G#6,Very high,EWSD_score_acoustic_balanced,7.787601522685784,4.163205956966038,12.86260220233357,0.296666088163299,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,93,A6,Very high,EWSD_score_acoustic_balanced,8.426029712255609,4.109640931770007,12.19819852324369,0.2546825626567338,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,94,A#6,Very high,EWSD_score_acoustic_balanced,6.404430757883208,3.634437055637108,10.49033044268556,0.2773469401244408,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,95,B6,Very high,EWSD_score_acoustic_balanced,6.21404693839328,3.730060275906565,10.86449277001001,0.3006071474135062,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,97,C#7,Very high,EWSD_score_acoustic_balanced,5.785382623319842,3.985362145528702,9.951607807259268,0.2866233705189203,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
